,judge,charge_orc,counts,prior_cases,bond_amt,bond_type,race,year
9113,RUSSO_MJ,2921.34(A)(1),1,9,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9114,FUERST_NA,2921.34(A)(1),1,6,5000.0,CASH/SURETY/PROPERTY,OTHER,2010
9115,SUTULA_KA,2903.211(A)(1),1,6,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9116,GALLAGHER_ET,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2010
9126,GALLAGHER_EA,2911.13(A),1,2,2500.0,PERSONAL,BLACK,2010
9127,FRIEDMAN_SA,2925.11(A),1,0,1500.0,PERSONAL,WHITE,2010
9128,SUTULA_KA,2919.25(A),1,0,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9129,FUERST_NA,2919.25(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9130,GALLAGHER_EA,2923.13(A)(3),1,3,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9132,DONNELLY_MP,2950.05.E(1),1,7,25000.0,CASH/SURETY/PROPERTY,WHITE,2010
9134,RUSSO_NM,2913.02(A)(1),1,5,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9135,RUSSO_JD,2913.02,1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9140,MCGINTY_TJ,2925.11(A),1,15,15000.0,CASH/SURETY/PROPERTY,BLACK,2010
9142,MATIA_DT,2913.51(A),1,3,5000.0,PERSONAL,BLACK,2010
9143,SHEEHAN_BJ,2911.02(A)(3),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9145,MCCORMICK_T,2913.03,1,1,2500.0,PERSONAL,WHITE,2010
9156,GAUL_D,2913.31(A)(2),1,1,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9157,SUSTER_R,2919.25(A),1,3,25000.0,CASH/SURETY/PROPERTY,WHITE,2010
9165,ROOM_A,2925.05,1,0,,CASH/SURETY/PROPERTY,BLACK,2010
9167,SUTULA_KA,2925.11(A),1,8,25000.0,CASH/SURETY/PROPERTY,BLACK,2010
9175,MCDONNELL_NR,2925.03(A)(2),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9176,MATIA_DT,2903.13(A),1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9181,GALLAGHER_HL,2913.51(A),1,8,1500.0,CASH/SURETY/PROPERTY,OTHER,2010
9191,ROOM_A,2925.11,1,0,,CASH/SURETY/PROPERTY,OTHER,2010
9195,SAFFOLD_SS,2919.25(A),1,11,5000.0,PERSONAL,BLACK,2010
9200,MCCAFFERTY_BM,2903.11(A)(1),1,1,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9209,RUSSO_MJ,2925.11(A),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9213,SYNENBERG_J,2913.02(A)(1),1,0,10000.0,CASH/SURETY/PROPERTY,HISPANIC,2010
9217,GALLAGHER_EA,2913.02(A)(3),1,7,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9219,MCDONNELL_NR,2950.06.F,1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9220,SUSTER_R,2950.06.F,1,9,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9223,FUERST_NA,2913.02(A)(1),1,3,2500.0,PERSONAL,WHITE,2010
9224,ROOM_A,2923.12,1,0,20000.0,CASH/SURETY/PROPERTY,BLACK,2010
9225,SHEEHAN_BJ,2950.06.F,1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9226,TERRY_SJ,2950.05.E(1),1,6,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9236,RUSSO_MJ,2925.03(A)(2),1,0,1500.0,PERSONAL,BLACK,2010
9240,GALLAGHER_ET,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9241,MATIA_DT,2925.11(A),1,1,1000.0,PERSONAL,WHITE,2010
9244,FUERST_NA,2913.02(A)(1),1,3,2500.0,PERSONAL,WHITE,2010
9260,CORRIGAN_PJ,2923.12(A)(2),1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9261,BURNSIDE_JR,2925.11(A),1,10,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9269,BURNSIDE_JR,2923.13(A)(2),1,0,5000.0,PERSONAL,WHITE,2010
9273,GALLAGHER_ET,2921.331(B),1,0,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9274,CORRIGAN_BJ,2925.11(A),1,1,3500.0,CASH/SURETY/PROPERTY,WHITE,2010
9280,CORRIGAN_PJ,2903.04(A),1,7,250000.0,CASH/SURETY/PROPERTY,BLACK,2010
9281,PROGRAM_D,2923.12,1,0,1000.0,PERSONAL,BLACK,2010
9283,CORRIGAN_PJ,2919.25(A),1,6,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9284,MASON_L,2919.25,1,3,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9288,Judge2_NO,2907.02,1,0,,CASH/SURETY/PROPERTY,BLACK,2010
9294,SAFFOLD_SS,2925.03(A)(2),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9299,ROOM_A,2925.03,1,4,,CASH/SURETY/PROPERTY,BLACK,2010
9302,Judge2_NO,2923.12,1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9303,Judge2_NO,2917.02,1,0,,CASH/SURETY/PROPERTY,WHITE,2010
9311,RUSSO_JD,2911.02(A)(3),1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9313,RUSSO_NM,2921.331(B),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9317,RUSSO_JJ,2921.38(B),1,0,1500.0,PERSONAL,BLACK,2010
9319,MASON_L,2925.11(A),1,8,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9321,TERRY_SJ,2925.03(A)(2),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9322,CORRIGAN_PJ,2913.51(A),1,1,2500.0,PERSONAL,BLACK,2010
9333,TERRY_SJ,2903.11(A)(1),1,1,25000.0,CASH/SURETY/PROPERTY,BLACK,2010
9334,MCCORMICK_T,2919.25(A),1,3,3500.0,CASH/SURETY/PROPERTY,BLACK,2010
9336,FUERST_NA,2921.34(A)(1),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9337,MCMONAGLE_TE,2903.13,1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9338,TERRY_SJ,2903.11(A)(1),1,1,25000.0,CASH/SURETY/PROPERTY,BLACK,2010
9340,SYNENBERG_J,2913.02(A)(1),1,2,10000.0,PERSONAL,WHITE,2010
9343,PROGRAM_D,2923.12,1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9346,DONNELLY_MP,2921.36(A)(2),1,2,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9349,MASON_L,2923.17(A),1,0,1000.0,CASH/SURETY/PROPERTY,WHITE,2010
9352,CORRIGAN_PJ,2923.12(A)(2),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9357,MCGINTY_TJ,2925.11(A),1,2,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9358,MCCAFFERTY_BM,2923.24,1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9373,CORRIGAN_BJ,2925.11(A),1,1,1000.0,PERSONAL,WHITE,2010
9380,CORRIGAN_PJ,2950.06.F,1,5,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9381,ROOM_A,2950.06.F,1,6,,CASH/SURETY/PROPERTY,BLACK,2010
9383,MCMONAGLE_RJ,2950.06.F,1,13,1500.0,PERSONAL,BLACK,2010
9385,SYNENBERG_J,2950.06.F,1,1,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9388,SUTULA_JD,2950.06.F,1,3,2500.0,PERSONAL,BLACK,2010
9394,RUSSO_MJ,2913.02(A)(1),1,14,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9396,MCGINTY_TJ,2911.02(A)(2),1,3,20000.0,CASH/SURETY/PROPERTY,BLACK,2010
9398,SUTULA_JD,2925.11(A),1,4,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9404,Judge2_NO,2913.51(A),1,0,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9408,GAUL_D,2903.02(A),1,0,0.0,CASH/SURETY/PROPERTY,WHITE,2010
9411,ROOM_A,2963.24,1,0,,CASH/SURETY/PROPERTY,WHITE,2010
9412,BURNSIDE_JR,2911.11,1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9413,RUSSO_JJ,2903.13,1,1,1500.0,PERSONAL,HISPANIC,2010
9421,DONNELLY_MP,2913.02(A)(1),1,0,2500.0,PERSONAL,BLACK,2010
9428,SUSTER_R,2925.11(A),1,21,1500.0,PERSONAL,BLACK,2010
9429,RUSSO_MJ,2911.13(A),1,7,2500.0,PERSONAL,BLACK,2010
9430,MATIA_DT,2950.05.E(1),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9432,ROOM_A,2950.06,1,1,,CASH/SURETY/PROPERTY,BLACK,2010
9440,SHEEHAN_BJ,2925.03(A)(2),1,25,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9442,MATIA_DT,2925.31(A),1,18,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9443,RUSSO_JD,2919.27(A)(1),1,12,100000.0,CASH/SURETY/PROPERTY,WHITE,2010
9446,GALLAGHER_EA,2913.02(A)(1),1,0,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9447,ROOM_A,2911.12,1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9450,AMBROSE_D,2913.51(A),1,1,1000.0,PERSONAL,BLACK,2010
9452,AMBROSE_D,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9454,RUSSO_NM,2925.03(A)(1),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9456,SUSTER_R,2921.34(A)(1),1,4,10000.0,PERSONAL,WHITE,2010
9457,TERRY_SJ,2921.34(A)(1),1,6,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9465,GALLAGHER_ET,2913.51(A),1,2,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9470,SAFFOLD_SS,2919.25(A),1,0,20000.0,CASH/SURETY/PROPERTY,WHITE,2010
9473,MASON_L,2925.11(A),1,15,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9474,RUSSO_JJ,2925.11(A),1,10,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9476,MASON_L,2913.02(A)(1),1,0,1500.0,PERSONAL,WHITE,2010
9478,ODONNELL_JP,2925.03(A)(2),1,4,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9482,ROOM_A,2913.51,1,0,,CASH/SURETY/PROPERTY,,2010
9483,ROOM_A,2925.11,1,0,,PERSONAL,BLACK,2010
9484,VILLANUEVA_JA,2921.34(A)(1),1,11,20000.0,CASH/SURETY/PROPERTY,BLACK,2010
9495,CALABRESE_DR,2913.51(A),1,13,5000.0,PERSONAL,BLACK,2010
9498,MCMONAGLE_TE,2925.11(A),1,0,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9502,ROOM_A,2950.06,1,3,,CASH/SURETY/PROPERTY,BLACK,2010
9503,ROOM_A,2950.06.F,1,3,,CASH/SURETY/PROPERTY,BLACK,2010
9512,CORRIGAN_PJ,2913.51(A),1,1,1500.0,PERSONAL,OTHER,2010
9514,SYNENBERG_J,2913.42(A),1,19,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9525,DONNELLY_MP,2950.06.F,1,1,5000.0,CASH/SURETY/PROPERTY,OTHER,2010
9537,SUTULA_JD,2913.02(A)(1),1,12,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9538,SUTULA_KA,2913.03(B),1,2,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9539,ROOM_A,2963.24,1,0,,CASH/SURETY/PROPERTY,BLACK,2010
9540,ROOM_A,2963.24,1,0,,CASH/SURETY/PROPERTY,WHITE,2010
9541,BURNSIDE_JR,2925.11(A),1,1,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9550,MCCAFFERTY_BM,2911.02(A)(3),1,6,30000.0,CASH/SURETY/PROPERTY,BLACK,2010
9559,CALABRESE_DR,2913.02(A)(1),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9563,AMBROSE_D,2919.25(A),1,0,1000.0,PERSONAL,BLACK,2010
9564,TERRY_SJ,2913.51(A),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9574,SHEEHAN_BJ,2919.25(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9579,MCMONAGLE_RJ,2950.05.E(1),1,11,2500.0,PERSONAL,BLACK,2010
9581,MASON_L,2921.33(B),1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9583,MCGINTY_TJ,2913.51(A),1,5,1000.0,PERSONAL,BLACK,2010
9584,ROOM_A,2925.11,1,13,,CASH/SURETY/PROPERTY,BLACK,2010
9585,RUSSO_MJ,2921.04(A),1,3,5000.0,PERSONAL,OTHER,2010
9587,Judge2_NO,2903.11,1,0,,CASH/SURETY/PROPERTY,BLACK,2010
9588,MATIA_DT,2911.13(A),1,2,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9590,GALLAGHER_EA,2911.13(A),1,2,1000.0,PERSONAL,BLACK,2010
9592,FRIEDLAND_CB,2925.03(A)(2),1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9600,SHEEHAN_BJ,2925.11(A),1,3,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9601,SHEEHAN_BJ,2919.25(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9604,VILLANUEVA_JA,2925.11(A),1,8,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9605,VILLANUEVA_JA,2913.02(A)(1),1,0,1500.0,PERSONAL,WHITE,2010
9607,SUSTER_R,2925.11(A),1,9,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9612,ROOM_A,2911.02,1,4,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9617,AMBROSE_D,2925.11(A),1,2,1000.0,PERSONAL,BLACK,2010
9618,RUSSO_JJ,2925.11(A),1,1,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9619,RUSSO_JJ,2925.11(A),1,2,1500.0,PERSONAL,BLACK,2010
9620,ROOM_A,2950.06,1,1,,CASH/SURETY/PROPERTY,WHITE,2010
9621,VILLANUEVA_JA,2913.03,1,0,1000.0,PERSONAL,BLACK,2010
9624,SUTULA_KA,2925.11(A),1,0,1500.0,PERSONAL,BLACK,2010
9627,ROOM_A,2950.06.F,1,4,,CASH/SURETY/PROPERTY,BLACK,2010
9631,GAUL_D,2925.11(A),1,7,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9634,TERRY_SJ,2911.13(B),1,13,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9640,MCCORMICK_T,2925.03(A)(2),1,1,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9641,ROOM_A,2925.11,1,9,,CASH/SURETY/PROPERTY,BLACK,2010
9642,GALLAGHER_ET,2950.06.F,1,2,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9643,BURNSIDE_JR,2919.25(A),1,7,35000.0,CASH/SURETY/PROPERTY,WHITE,2010
9647,ASTRAB_M,2921.34(A)(1),1,0,5000.0,PERSONAL,WHITE,2010
9651,ROOM_A,2923.12,1,0,2500.0,PERSONAL,WHITE,2010
9652,ROOM_A,2925.11,1,1,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9654,ROOM_A,2913.02,1,0,3500.0,CASH/SURETY/PROPERTY,WHITE,2010
9655,ROOM_A,2921.36,1,10,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9659,MCCAFFERTY_BM,2911.13(A),1,8,2500.0,PERSONAL,WHITE,2010
9666,GALLAGHER_HL,2913.51(A),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9667,SYNENBERG_J,2950.06.F,1,7,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9668,GAUL_D,2903.13(A),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9671,FRIEDLAND_CB,2950.05.E(1),1,2,1000.0,PERSONAL,WHITE,2010
9676,ROOM_A,2919.25,1,2,,CASH/SURETY/PROPERTY,BLACK,2010
9679,ROOM_A,2919.25,1,1,,CASH/SURETY/PROPERTY,BLACK,2010
9683,MCCORMICK_T,2913.02(A)(1),1,4,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9684,MASON_L,2923.16(B),1,0,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9688,ROOM_A,2913.42,1,1,,CASH/SURETY/PROPERTY,BLACK,2010
9690,CALABRESE_DR,2923.12(A)(2),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9693,SUSTER_R,2913.03(B),1,4,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9694,AMBROSE_D,2903.13(A),1,5,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9696,GAUL_D,2913.02(A)(1),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9697,SAFFOLD_SS,2913.02(A)(1),1,0,10000.0,PERSONAL,BLACK,2010
9698,ROOM_A,2913.02,1,0,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9699,RUSSO_JJ,2913.51(A),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9704,BURNSIDE_JR,2911.13(A),1,12,1500.0,PERSONAL,BLACK,2010
9705,MCCAFFERTY_BM,2925.11(A),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9706,BURNSIDE_JR,2921.12(A)(1),1,6,25000.0,PERSONAL,BLACK,2010
9709,ROOM_A,2925.11,1,13,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9710,ROOM_A,2911.01,1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9713,ROOM_A,2925.11,1,28,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9716,CALABRESE_DR,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9719,GALLAGHER_HL,2913.02(A)(1),1,6,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9720,GALLAGHER_HL,2913.02(A)(1),1,6,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9721,MCMONAGLE_TE,2913.51(A),1,3,2500.0,PERSONAL,BLACK,2010
9724,RUSSO_NM,2925.03(A)(2),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9727,SYNENBERG_J,2921.38(C),1,5,25000.0,PERSONAL,BLACK,2010
9729,ODONNELL_JP,2913.03(A),1,3,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9732,ROOM_A,2925.03,1,5,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9737,FRIEDLAND_CB,2911.13(B),1,1,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9738,SUTULA_JD,2913.02(A)(1),1,2,1000.0,CASH/SURETY/PROPERTY,BLACK,2010
9743,RUSSO_NM,2925.11(A),1,7,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9745,RUSSO_JJ,2925.11(A),1,6,2500.0,PERSONAL,BLACK,2010
9746,RUSSO_JJ,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9750,SUSTER_R,2913.51(A),1,1,1500.0,CASH/SURETY/PROPERTY,WHITE,2010
9754,BURNSIDE_JR,2913.02(A)(1),1,3,2500.0,PERSONAL,WHITE,2010
9759,ROOM_A,2925.11,1,3,3500.0,CASH/SURETY/PROPERTY,BLACK,2010
9765,MCMONAGLE_TE,2919.25(A),1,16,250000.0,CASH/SURETY/PROPERTY,BLACK,2010
9767,MCGINTY_TJ,2925.03(A)(2),1,9,2500.0,PERSONAL,BLACK,2010
9776,MCGINTY_TJ,2919.25(A),1,2,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9778,MCCORMICK_T,2925.23(B)(1),1,4,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9790,MCCORMICK_T,2913.51(A),1,0,1000.0,PERSONAL,BLACK,2010
9792,AMBROSE_D,2911.02(A)(2),1,2,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9794,CLANCY_M,2921.34(A)(1),1,7,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9796,GAUL_D,2925.11(A),1,5,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9797,ROOM_A,2925.11,1,9,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9798,AMBROSE_D,2925.11(A),1,0,1000.0,PERSONAL,BLACK,2010
9799,MCGINTY_TJ,2913.02(A)(1),1,5,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9800,CORRIGAN_PJ,2913.02(A)(1),1,7,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9806,RUSSO_JJ,2919.25(A),1,0,10000.0,PERSONAL,WHITE,2010
9807,GAUL_D,2913.51(A),1,7,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9815,GALLAGHER_ET,2921.34(A)(1),1,7,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9816,MCCORMICK_T,2913.02(A)(1),1,1,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9823,RUSSO_MJ,2913.02(A)(1),1,10,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9827,Judge2_NO,2919.25,1,2,,CASH/SURETY/PROPERTY,BLACK,2010
9829,ROOM_A,2925.11,1,9,,CASH/SURETY/PROPERTY,BLACK,2010
9834,AMBROSE_D,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2010
9838,GALLAGHER_ET,2913.51(A),1,7,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9839,RUSSO_JD,2925.11(A),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2010
9843,SAFFOLD_SS,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9850,ROOM_A,2950.05,1,6,,CASH/SURETY/PROPERTY,BLACK,2010
9852,ROOM_A,2950.06,1,3,,CASH/SURETY/PROPERTY,BLACK,2010
9855,GALLAGHER_ET,2950.06.F,1,7,10000.0,CASH/SURETY/PROPERTY,WHITE,2010
9856,TERRY_SJ,2950.06.F,1,0,2500.0,CASH/SURETY/PROPERTY,HISPANIC,2010
9862,MCMONAGLE_RJ,2903.13(A),1,0,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9864,SHEEHAN_BJ,2913.11(B),1,4,1000.0,PERSONAL,WHITE,2010
9865,CORRIGAN_BJ,2913.02(A)(3),1,3,2500.0,PERSONAL,BLACK,2010
9867,SHEEHAN_BJ,2913.11(B),1,4,1000.0,PERSONAL,WHITE,2010
9869,GAUL_D,2913.51(A),1,0,1000.0,PERSONAL,WHITE,2010
9873,ROOM_A,2923.24,1,1,,PERSONAL,BLACK,2010
9874,ROOM_A,2925.22,1,0,1000.0,PERSONAL,BLACK,2010
9875,ROOM_A,2925.03,1,0,3500.0,CASH/SURETY/PROPERTY,BLACK,2010
9876,ROOM_A,2913.02,1,15,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9877,ROOM_A,2925.11,1,14,3500.0,CASH/SURETY/PROPERTY,BLACK,2010
9883,FRIEDMAN_SA,2925.11(A),1,1,1000.0,PERSONAL,WHITE,2010
9892,RUSSO_NM,2919.25(A),1,2,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9900,BURNSIDE_JR,2921.34(A)(1),1,7,10000.0,PERSONAL,WHITE,2010
9901,DONNELLY_MP,2950.06.F,1,8,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9902,VILLANUEVA_JA,2950.06.F,1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9903,RUSSO_JD,2950.05.E(1),1,1,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9904,ROOM_A,2950.06,1,1,,CASH/SURETY/PROPERTY,BLACK,2010
9906,WILLIAMS_CC,2921.32(A)(1),1,0,2500.0,PERSONAL,WHITE,2010
9907,RUSSO_NM,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2010
9908,TERRY_SJ,2913.02(A)(1),1,2,1000.0,PERSONAL,OTHER,2010
9910,GALLAGHER_ET,2911.01(A)(1),1,0,50000.0,CASH/SURETY/PROPERTY,BLACK,2010
9922,FRIEDMAN_SA,2913.03(B),1,5,1500.0,PERSONAL,BLACK,2010
9930,GALLAGHER_EA,2925.11(A),1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9931,ROOM_A,2925.11,1,0,2500.0,PERSONAL,BLACK,2010
9932,GALLAGHER_HL,2923.12(A)(2),1,1,2500.0,PERSONAL,BLACK,2010
9937,ROOM_A,2919.25,1,1,,CASH/SURETY/PROPERTY,BLACK,2010
9941,SUTULA_JD,2921.23(A),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9946,SYNENBERG_J,2919.25(A),1,7,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9948,VILLANUEVA_JA,2925.04(A),1,1,1000.0,PERSONAL,WHITE,2010
9949,RUSSO_JD,2911.13(B),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9950,BURNSIDE_JR,2925.11(A),1,3,1500.0,PERSONAL,BLACK,2010
9961,FRIEDMAN_SA,2950.06.F,1,3,10000.0,PERSONAL,HISPANIC,2010
9962,SUSTER_R,2950.04.E,1,0,10000.0,PERSONAL,WHITE,2010
9971,RUSSO_NM,2903.13,1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2010
9976,GALLAGHER_HL,2917.31(A)(1),1,2,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
9980,RUSSO_JJ,2923.12(A)(2),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
9983,ROOM_A,2925.11,1,19,,CASH/SURETY/PROPERTY,BLACK,2010
9989,GALLAGHER_ET,2921.34(A)(1),1,7,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9990,CORRIGAN_BJ,2911.211(A),1,1,2500.0,PERSONAL,BLACK,2010
9994,RUSSO_MJ,2903.11(A)(1),1,1,5000.0,CASH/SURETY/PROPERTY,BLACK,2010
9996,ODONNELL_JP,2913.42(A),1,5,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
9999,GALLAGHER_ET,2925.03(A)(2),1,1,1000.0,PERSONAL,BLACK,2010
10002,CORRIGAN_PJ,2925.11(A),1,1,2500.0,CASH/SURETY/PROPERTY,WHITE,2010
10003,SYNENBERG_J,2925.11(A),1,1,2500.0,PERSONAL,WHITE,2010
10004,JACKSON_ME,2921.34(A)(1),1,3,25000.0,CASH/SURETY/PROPERTY,HISPANIC,2010
10008,MCMONAGLE_TE,2919.25,1,7,100000.0,CASH/SURETY/PROPERTY,BLACK,2010
10009,MCCORMICK_T,2909.05(B)(1)(B),1,5,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
10012,FRIEDMAN_SA,2921.34(A)(1),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
10018,MCCAFFERTY_BM,2913.51(A),1,1,10000.0,CASH/SURETY/PROPERTY,BLACK,2010
10020,SUTULA_JD,2921.34(A)(1),1,7,1500.0,PERSONAL,BLACK,2010
10021,ROOM_A,2913.34,1,7,,CASH/SURETY/PROPERTY,BLACK,2010
10026,ROOM_A,2963.24,1,0,,CASH/SURETY/PROPERTY,WHITE,2010
10028,RUSSO_JD,2925.11(A),1,11,2500.0,CASH/SURETY/PROPERTY,BLACK,2010
10032,FRIEDMAN_SA,2919.25(A),1,0,7500.0,CASH/SURETY/PROPERTY,BLACK,2010
